ID,Greek,Declension,Article,English,Note,Transliteration,Type,Frequency,Tag
489,ὀμνύω,or ὄμνυμι,,"I swear, take an oath",,omnyō,Verb,26,26 - 27
490,πόσος,"-η, -ον",,how great? how much?,,posos,Adjective,27,26 - 27
491,σός,"σή, σόν",,"thy, thine",,sos,Adjective,27,26 - 27
492,σταυρός,-οῦ,ὁ,a cross,,stauros,Noun,27,26 - 27
493,στρατιώτης,-ου,ὁ,a soldier,,stratiōtēs,Noun,26,26 - 27
494,συνίημι,,,I understand,,syniēmi,Verb,26,26 - 27
495,φρονέω,,,I think,,phroneō,Verb,26,26 - 27
496,χήρα,-ας,ἡ,a widow,,chēra,Noun,26,26 - 27
497,χώρα,-ας,ἡ,a country,"chorography, describing, or description, of districts",chōra,Noun,27,26 - 27
498,ἀδικέω,,,"I wrong, do wrong",,adikeō,Verb,25,25
499,ἀναβλέπω,,,"I look up, receive sight",,anablepō,Verb,25,25
500,γνωρίζω,,,I make known,,gnōrizō,Verb,25,25
501,δέκα,,,ten,"Decapolis, a league originally consisting of ten Greek cities, mostly SE. of the sea of Galilee",deka,Adjective,25,25
502,δένδρον,-ου,τό,a tree,"rhododendron, lit. rose-tree",dendron,Noun,25,25
503,δουλεύω,,,I serve,,douleuō,Verb,25,25
504,ἕνεκα,or ἕνεκεν,,(+ gen.) on account of,,heneka,Preposition,25,25
505,καθαρός,"-ά, -όν",,clean,catharsis,katharos,Adjective,25,25
506,μανθάνω,,,I learn,cf. mathematics,manthanō,Verb,25,25
507,μήποτε,,,lest perchance,,mēpote,Particle,25,25
508,νεφέλη,-ης,ἡ,a cloud,nephelometer,nephelē,Noun,25,25
509,ὁμολογέω,,,"I confess, profess",,homologeō,Verb,25,25
510,οὗ,,,where,,hou,Adverb,25,25
511,πνευματικός,"-ή, -όν",,spiritual,pneumatic,pneumatikos,Adjective,25,25
512,πορνεία,-ας,ἡ,fornication,cf. pornography,porneia,Noun,25,25
