ID,Greek,Declension,Article,English,Note,Transliteration,Type,Frequency,Tag
959,νεανίσκος,-ου,ὁ,a youth,,neaniskos,Noun,11,11
960,νόσος,-ου,ἡ,a disease,"nosophobia, a morbid fear of disease",nosos,Noun,11,11
961,ὁμοθυμαδόν,,,with one accord,,homothymadon,,11,11
962,ὀνειδίζω,,,I reproach,,oneidizō,Verb,11,11
963,παράγω,,,I pass by,,paragō,Verb,11,11
964,παραλυτικός,-οῦ,ὁ,a paralytic,paralytic,paralytikos,Noun,11,11
965,παρεμβολή,-ῆς,ἡ,"a camp, army, fortress",,parembolē,Noun,11,11
966,περισσοτέρως,,,more abundantly,,perissoterōs,Adverb,11,11
967,πηγή,-ῆς,ἡ,"a spring, fountain",,pēgē,Noun,11,11
968,ποιμαίνω,,,"I shepherd, rule","poimenic, pertaining to pastoral theology",poimainō,Verb,11,11
969,πρᾶγμα,-ατος,τό,"a deed, matter, thing",pragmatic,pragma,Noun,11,11
970,πραΰτης,-ῆτος,ἡ,"gentleness, humility, courtesy",,prautēs,Noun,11,11
971,πρότερος,"-α, -ον",,"former; as an adverb, before",cf. proto-,proteros,Adjective,11,11
972,πυνθάνομαι,,,I inquire,,pynthanomai,Verb,11,11
973,σάλπιγξ,-ιγγος,ἡ,a trumpet,,salpinx,Noun,11,11
974,σπλάγχνα,-ων,τά,"bowels; heart, tender mercies, compassion",splanchnic,splanchna,Noun,11,11
975,σπουδάζω,,,"I hasten, am eager",,spoudazō,Verb,11,11
976,σφόδρα,,,exceedingly,,sphodra,,11,11
977,σχίζω,,,I split,schism; schizophrenia,schizō,Verb,11,11
978,τελευτάω,,,I die,,teleutaō,Verb,11,11
979,τριάκοντα,,,"indeclinable, thirty",,triakonta,,11,11
980,ὑμέτερος,"-α, -ον",,your,,hymeteros,Adjective,11,11
981,ὑπαντάω,,,"I meet, go to meet",,hypantaō,Verb,11,11
982,ὑποκάτω,,,"under, below, down at",,hypokatō,Preposition,11,11
983,ὕστερον,,,"later, afterwards","in rhetoric, hysteron-proteron, a reversing of the natural order of the sense, as ‘he is well and lives’",hysteron,,11,11
984,φυτεύω,,,I plant,,phyteuō,Verb,11,11
985,φωτίζω,,,"I give light, enlighten",cf. photo-,phōtizō,Verb,11,11
986,χείρων,-ον,,"worse, more severe",,cheirōn,Adjective,11,11
987,χίλιοι,"-αι, -α",,a thousand,"chiliasm, millenarianism",chilioi,Adjective,11,11
988,χιτών,-ῶνος,ὁ,a tunic,chiton,chitōn,Noun,11,11
989,χράομαι,,,I use,"catachresis, misuse of a word; in rhetoric, a mixed metaphor",chraomai,Verb,11,11
990,χρυσός,-οῦ,ὁ,gold,chrysanthemum,chrysos,Noun,11,11
991,ψευδοπροφήτης,-ου,ὁ,a false prophet,,pseudoprophētēs,Noun,11,11
992,ἁγιασμός,-οῦ,ὁ,sanctification,,hagiasmos,Noun,10,10
993,ᾅδης,-ου,ὁ,Hades,Hades,hadēs,Noun,10,10
994,ἀδύνατος,-ον,,"incapable, impossible",,adynatos,Adjective,10,10
995,ἀκαθαρσία,-ας,ἡ,uncleanness,,akatharsia,Noun,10,10
996,ἅμα,,,at the same time; (+ dat.) together with,,hama,,10,10
997,ἀνατολή,-ῆς,ἡ,"east, dawn",Anatolia,anatolē,Noun,10,10
998,ἀναφέρω,,,"I bring up, offer",,anapherō,Verb,10,10
999,ἄνομος,-ον,,"lawless, without law",,anomos,Adjective,10,10
1000,ἀπολογέομαι,,,I defend myself,cf. apology,apologeomai,Verb,10,10
1001,ἀπολύτρωσις,-εως,ἡ,redemption,,apolytrōsis,Noun,10,10
1002,ἀσέλγεια,-ας,ἡ,"licentiousness, debauchery, sensuality",,aselgeia,Noun,10,10
1003,ἀσπασμός,-οῦ,ὁ,a greeting,,aspasmos,Noun,10,10
1004,ἀφαιρέω,,,I take away,"aphaeresis, dropping of a letter or syllable from the beginning of a word, as ‘lone’ from ‘alone’",aphaireō,Verb,10,10
1005,ἀφορίζω,,,I separate,aphorism,aphorizō,Verb,10,10
1006,βίβλος,-ου,ἡ,a book,Bible,biblos,Noun,10,10
1007,βίος,-ου,ὁ,life,biology,bios,Noun,10,10
1008,δεσπότης,-ου,ὁ,"a master, lord",despot,despotēs,Noun,10,10
1009,διατρίβω,,,I continue,"diatribe, a prolonged and acrimonious harangue",diatribō,Verb,10,10
1010,δικαίωμα,-ατος,τό,"regulation, righteous deed",,dikaiōma,Noun,10,10
1011,διωγμός,-οῦ,ὁ,persecution,,diōgmos,Noun,10,10
1012,ἐγκαταλείπω,,,"I leave behind, forsake, abandon",,enkataleipō,Verb,10,10
1013,ἐκκόπτω,,,"I cut out, cut off",,ekkoptō,Verb,10,10
1014,ἐκπίπτω,,,I fall away,,ekpiptō,Verb,10,10
1015,ἐμφανίζω,,,I manifest,,emphanizō,Verb,10,10
1016,ἔνατος,"-η, -ον",,ninth,"Ennead, one division of the collection made by Porphyry of the teachings of Plotinus, arranged in six divisions of nine books each",enatos,Adjective,10,10
1017,ἔνοχος,-ον,,"involved in, liable, guilty",,enochos,Adjective,10,10
1018,ἐξομολογέομαι,,,"I confess, profess","in the ancient Church, exomologesis, the public confession of sin, usually accompanied by fasting, weeping, and mourning",exomologeomai,Verb,10,10
1019,ἐπειδή,,,"since, because",,epeidē,,10,10
1020,ἐπιδίδωμι,,,I give to,,epididōmi,Verb,10,10
1021,ἐπιτάσσω,,,I command,,epitassō,Verb,10,10
1022,ἐπιτελέω,,,"I complete, perform",,epiteleō,Verb,10,10
1023,θλίβω,,,"I press, oppress",,thlibō,Verb,10,10
1024,ἰσχύς,-ύος,ἡ,strength,,ischys,Noun,10,10
1025,κἀκεῖθεν,,,and from there; and then,καὶ + ἐκεῖθεν,kakeithen,,10,10
1026,κοινωνός,-οῦ,ὁ,"a partner, sharer","cf. cenobite, one dwelling in a convent community",koinōnos,Noun,10,10
1027,κοσμέω,,,I adorn,cosmetics,kosmeō,Verb,10,10
1028,μακράν,,,far away,,makran,,10,10
1029,μακροθυμέω,,,I am patient,,makrothymeō,Verb,10,10
1030,μέλει,,,it is a care,,melei,,10,10
1031,μνῆμα,-ατος,τό,"grave, tomb",,mnēma,Noun,10,10
1032,νομικός,"-ή, -όν",,"pertaining to the law; as a noun, one skilled in the Mosaic law, a lawyer",,nomikos,Adjective,10,10
1033,ξενίζω,,,"I entertain (a stranger); I startle, bewilder",,xenizō,Verb,10,10
1034,ὅδε,"ἥδε, τόδε",,this,here,hode,Demonstrative Pronoun,10,10
1035,οἰκονόμος,-ου,ὁ,a steward,economy,oikonomos,Noun,10,10
1036,ὀνομάζω,,,I name,"cf. onomasticon, a collection of proper names",onomazō,Verb,10,10
1037,ὄντως,,,really,cf. ontology,ontōs,,10,10
1038,ὅρκος,-ου,ὁ,an oath,,horkos,Noun,10,10
1039,παντοκράτωρ,-ορος,ὁ,"ruler of all, the Almighty",,pantokratōr,Noun,10,10
1040,πατάσσω,,,I smite,,patassō,Verb,10,10
1041,πενθέω,,,I mourn,,pentheō,Verb,10,10
1042,περιστερά,-ᾶς,ἡ,a dove,,peristera,Noun,10,10
1043,πλάνη,-ης,ἡ,"a wandering, error","cf. planet, which to the ancients was apparently a wandering celestial body",planē,Noun,10,10
1044,πλατεῖα,-ας,ἡ,a street,place,plateia,Noun,10,10
1045,πλεονεξία,-ας,ἡ,covetousness,,pleonexia,Noun,10,10
1046,ποικίλος,"-η, -ον",,"varied, manifold",,poikilos,Adjective,10,10
1047,πόρνος,-ου,ὁ,a fornicator,pornography,pornos,Noun,10,10
1048,προέρχομαι,,,"I go in front, precede",,proerchomai,Verb,10,10
1049,προσκαρτερέω,,,I continue in or with,,proskartereō,Verb,10,10
1050,πύλη,-ης,ἡ,"a gate, porch",pylon,pylē,Noun,10,10
1051,σέβομαι,,,"I reverence, worship",,sebomai,Verb,10,10
1052,σιγάω,,,"I am silent, become silent",,sigaō,Verb,10,10
1053,σιωπάω,,,I am silent,"aposiopesis, in rhetoric, a figure of speech in which the speaker breaks off suddenly",siōpaō,Verb,10,10
1054,στρατηγός,-οῦ,ὁ,a commander,,stratēgos,Noun,10,10
1055,συγγενής,-ές,,"kindred; as a noun, a relative, kinsman",,syngenēs,Adjective,10,10
1056,συζητέω,,,"I discuss, dispute",,syzēteō,Verb,10,10
1057,σύνδουλος,-ου,ὁ,a fellow slave,,syndoulos,Noun,10,10
1058,σφάζω,,,I slay,,sphazō,Verb,10,10
1059,τάσσω,,,"I arrange, appoint, order",cf. tactics,tassō,Verb,10,10
1060,ταχέως,,,quickly,cf. tachygraphy,tacheōs,Adverb,10,10
1061,τέταρτος,"-η, -ον",,fourth,"cf. tetrarch, a ruler over a fourth part",tetartos,Adjective,10,10
1062,ὑπόδημα,-ατος,τό,"a sandal, shoe",,hypodēma,Noun,10,10
1063,φείδομαι,,,I spare,,pheidomai,Verb,10,10
1064,χρηστότης,-ητος,ἡ,"goodness, kindness",,chrēstotēs,Noun,10,10
1065,χωρίον,-ου,τό,"a place, field","cf. chorography, describing, or description, of districts",chōrion,Noun,10,10
1066,ψεῦδος,-ους,τό,a lie,cf. pseudo-,pseudos,Noun,10,10
1067,ψεύστης,-ου,ὁ,a liar,cf. pseudo-,pseustēs,Noun,10,10
